2020-12-02 12:54:31,2020-12-02 13:06:26,4,2.03,75,262,16.3
2020-12-02 12:50:55,2020-12-02 13:00:38,1,1.20,262,237,12.96
2020-12-02 13:12:11,2020-12-02 13:25:25,1,4.26,234,87,23.3
2020-12-02 13:42:38,2020-12-02 14:00:54,2,1.67,233,140,18.36
2020-12-02 13:57:54,2020-12-02 14:06:00,2,1.69,143,68,11.3
2020-12-02 13:47:44,2020-12-02 13:56:18,2,1.17,107,234,10.3
2020-12-02 14:35:26,2020-12-02 14:57:15,1,7.73,138,41,36.7
2020-12-02 14:33:30,2020-12-02 15:16:55,5,18.42,132,48,66.42
2020-12-02 14:55:19,2020-12-02 15:13:11,1,1.40,236,163,15.3
2020-12-02 14:14:39,2020-12-02 14:20:36,1,.65,263,237,8.8
2020-12-02 15:26:35,2020-12-02 15:37:32,1,1.12,107,100,11.8
2020-12-02 15:25:42,2020-12-02 15:30:46,1,.83,170,186,10.56
2020-12-02 15:24:17,2020-12-02 15:36:12,1,5.20,231,233,23.8
2020-12-02 15:50:04,2020-12-02 15:56:54,1,1.29,163,100,12.88
2020-12-02 16:10:25,2020-12-02 16:22:23,2,1.80,163,164,13.8
2020-12-02 16:05:57,2020-12-02 16:19:36,1,2.45,141,43,19.13
2020-12-02 16:10:23,2020-12-02 16:55:03,1,6.20,75,231,36.63
2020-12-02 16:12:58,2020-12-02 16:21:57,1,.92,170,186,14.75
2020-12-02 17:39:38,2020-12-02 17:48:29,2,1.21,236,141,14.16
2020-12-02 17:48:26,2020-12-02 17:59:15,1,1.10,236,141,12.8
2020-12-02 17:35:44,2020-12-02 18:12:55,1,10.85,170,265,54.55
2020-12-02 17:02:30,2020-12-02 17:11:04,2,1.70,100,143,14.75
2020-12-02 18:31:44,2020-12-02 18:42:20,1,2.30,142,236,16.55
2020-12-02 18:22:51,2020-12-02 18:29:43,1,1.20,48,100,10.8
2020-12-02 18:14:07,2020-12-02 18:26:56,1,2.45,161,236,18.5
2020-12-02 19:45:15,2020-12-02 19:47:36,1,.50,234,113,10.35
2020-12-02 19:44:18,2020-12-02 19:45:28,5,.39,236,75,9.12
2020-12-02 19:52:26,2020-12-02 19:57:45,1,1.80,237,75,11.3
2020-12-02 20:16:40,2020-12-02 20:28:59,0,2.70,161,238,16.3
2020-12-02 20:36:32,2020-12-02 20:42:34,1,1.02,233,230,9.8
