119,Highbridge,-73.92696621,40.83673003
120,Highbridge Park,-73.93080685,40.84600407
121,Hillcrest/Pomonok,-73.79968831,40.72734719
122,Hollis,-73.76156419,40.71106847
123,Homecrest,-73.9651983,40.6002048
124,Howard Beach,-73.85000504,40.65956677
125,Hudson Sq,-74.00717569,40.72537634
126,Hunts Point,-73.88497727,40.81391819
127,Inwood,-73.92032547,40.86506268
128,Inwood Hill Park,-73.92543209,40.87218761
129,Jackson Heights,-73.88740638,40.75905747
130,Jamaica,-73.80034752,40.70327388
131,Jamaica Estates,-73.7713745,40.72041233
132,JFK Airport,-73.77826366,40.64260452
133,Kensington,-73.9743362,40.6393872
134,Kew Gardens,-73.8299927,40.70875018
135,Kew Gardens Hills,-73.82398551,40.72940996
136,Kingsbridge Heights,-73.90571997,40.86480273
137,Kips Bay,-73.97711937,40.74035924
138,LaGuardia Airport,-73.87280371,40.77486739
139,Laurelton,-73.74332308,40.67774937
140,Lenox Hill East,-73.95456804,40.76550682
141,Lenox Hill West,-73.95971268,40.76683882
142,Lincoln Square East,-73.98135241,40.77390599
143,Lincoln Square West,-73.98797297,40.77577021
144,Little Italy/NoLiTa,-73.99740668,40.72058145
145,Long Island City/Hunters Point,-73.94869919,40.74658997
146,Long Island City/Queens Plaza,-73.93363409,40.75452889
147,Longwood,-73.89819293,40.81919853
148,Lower East Side,-73.99071836,40.71921167
149,Madison,-73.94847421,40.60655799
150,Manhattan Beach,-73.94288426,40.58026232
151,Manhattan Valley,-73.96780839,40.79786627
152,Manhattanville,-73.95432487,40.8175772
153,Marble Hill,-73.91106258,40.87560041
154,Marine Park/Floyd Bennett Field,-73.89612331,40.59311867
155,Marine Park/Mill Basin,-73.90676934,40.61778854
156,Mariners Harbor,-74.1648593,40.62874838
157,Maspeth,-73.90192569,40.72403936
158,Meatpacking/West Village West,-74.00838576,40.73524807
159,Melrose South,-73.91358299,40.81825946
160,Middle Village,-73.88071225,40.71850382
161,Midtown Center,-73.97743184,40.75822648
162,Midtown East,-73.97214549,40.75681616
163,Midtown North,-73.97836699,40.76442545
164,Midtown South,-73.98592881,40.74880767
165,Midwood,-73.95460295,40.6209587
166,Morningside Heights,-73.96181526,40.80957023
167,Morrisania/Melrose,-73.90444259,40.82798804
168,Mott Haven/Port Morris,-73.91705803,40.80743953
169,Mount Hope,-73.90502146,40.84911482
170,Murray Hill,-73.97694199,40.74765428
171,Murray Hill-Queens,-73.80888072,40.76894367
172,New Dorp/Midland Beach,-74.1039265,40.57246542
173,North Corona,-73.8630837,40.75177924
174,Norwood,-73.87776056,40.87685259
175,Oakland Gardens,-73.75735677,40.74327385
176,Oakwood,-74.11961243,40.56206061
177,Ocean Hill,-73.91110579,40.67709861
178,Ocean Parkway South,-73.97068878,40.61763318
179,Old Astoria,-73.92681236,40.77142534
180,Ozone Park,-73.84936435,40.67516385
181,Park Slope,-73.9790449,40.67201914
182,Parkchester,-73.85794162,40.83740436
183,Pelham Bay,-73.83185405,40.84956865
184,Pelham Bay Park,-73.80461084,40.86478542
185,Pelham Parkway,-73.85518043,40.85347166
186,Penn Station/Madison Sq West,-73.99245533,40.74847636
187,Port Richmond,-74.14115248,40.62545372
188,Prospect-Lefferts Gardens,-73.94520016,40.65756006
189,Prospect Heights,-73.96826963,40.67718249
190,Prospect Park,-73.97095007,40.66060757
191,Queens Village,-73.74112042,40.7142783
192,Queensboro Hill,-73.81519254,40.744411
193,Queensbridge/Ravenswood,-73.9402863,40.76172443
194,Randalls Island,-73.92102903,40.79143296
195,Red Hook,-74.00954931,40.67546168
196,Rego Park,-73.86401021,40.72364786
197,Richmond Hill,-73.82904356,40.69300047
198,Ridgewood,-73.90199375,40.70452153
199,Rikers Island,-73.8835364,40.79204594
200,Riverdale/North Riverdale/Fieldston,-73.90646061,40.89985962
201,Rockaway Park,-73.84724648,40.57746872
202,Roosevelt Island,-73.95041049,40.76116791
203,Rosedale,-73.73671881,40.65950178
204,Rossville/Woodrow,-74.20697295,40.54074269
205,Saint Albans,-73.76261566,40.69221897
206,Saint George/New Brighton,-74.12316376,40.6359594
207,Saint Michaels Cemetery/Woodside,-73.89932502,40.76351135
208,Schuylerville/Edgewater Park,-73.82488634,40.82468614
209,Seaport,-74.00235972,40.70848969
210,Sheepshead Bay,-73.94433605,40.59376161
211,SoHo,-74.00137473,40.72389907
212,Soundview/Bruckner,-73.86990193,40.82827699
213,Soundview/Castle Hill,-73.86079104,40.81649076
214,South Beach/Dongan Hills,-74.08588545,40.58661907
215,South Jamaica,-73.79036754,40.6941903
216,South Ozone Park,-73.82051327,40.67707123
217,South Williamsburg,-73.95684577,40.70324961
218,Springfield Gardens North,-73.77211628,40.67362003
219,Springfield Gardens South,-73.76100796,40.6602285
220,Spuyten Duyvil/Kingsbridge,-73.91187726,40.88190094
221,Stapleton,-74.08133476,40.62022398
222,Starrett City,-73.88213752,40.64687191
223,Steinway,-73.90667183,40.77819333
224,Stuy Town/Peter Cooper Village,-73.97784208,40.73172816
225,Stuyvesant Heights,-73.93144485,40.68878507
226,Sunnyside,-73.92932128,40.73527341
227,Sunset Park East,-74.00679455,40.64159764
228,Sunset Park West,-74.00996047,40.65361821
229,Sutton Place/Turtle Bay North,-73.9651742,40.7565893
230,Times Sq/Theatre District,-73.98417616,40.75984474
231,TriBeCa/Civic Center,-74.00671162,40.71869564
232,Two Bridges/Seward Park,-73.9823067,40.71538608
233,UN/Turtle Bay South,-73.97125598,40.7491721
234,Union Sq,-73.99047762,40.74031346
235,University Heights/Morris Heights,-73.91496833,40.85350293
236,Upper East Side North,-73.95697239,40.78049148
237,Upper East Side South,-73.96569149,40.76854188
238,Upper West Side North,-73.97281452,40.79176625
239,Upper West Side South,-73.97827334,40.78410736
240,Van Cortlandt Park,-73.87906719,40.89474642
241,Van Cortlandt Village,-73.89645014,40.87597585
242,Van Nest/Morris Park,-73.83987896,40.84959658
243,Washington Heights North,-73.93282432,40.85867029
244,Washington Heights South,-73.94166681,40.84121867
245,West Brighton,-74.10317061,40.62847848
246,West Chelsea/Hudson Yards,-74.00451257,40.75243725
247,West Concourse,-73.92505918,40.82921147
248,West Farms/Bronx River,-73.87101045,40.8346772
249,West Village,-74.00249691,40.73461156
250,Westchester Village/Unionport,-73.84947868,40.83249069
251,Westerleigh,-74.12323684,40.61960552
252,Whitestone,-73.8153943,40.78836065
253,Willets Point,-73.84147455,40.76008634
254,Williamsbridge/Olinville,-73.85826965,40.88322333
255,Williamsburg (North Side),-73.95713378,40.71883419
256,Williamsburg (South Side),-73.95910788,40.71097713
257,Windsor Terrace,-73.97723931,40.6536645
258,Woodhaven,-73.85663905,40.69012637
259,Woodlawn/Wakefield,-73.85635112,40.89910277
260,Woodside,-73.90371328,40.74679779
261,World Trade Center,-74.01291938,40.70897562
262,Yorkville East,-73.94582982,40.77653423
263,Yorkville West,-73.95120799,40.77849587
